,country,article_name,revision_id,article_quality,population
0,Chad,Bir I of Kanem,355319463.0,Stub,15.4
1,Chad,Abdullah II of Kanem,498683267.0,Stub,15.4
2,Chad,Salmama II of Kanem,565745353.0,Stub,15.4
3,Chad,Kuri I of Kanem,565745365.0,Stub,15.4
4,Chad,Mohammed I of Kanem,565745375.0,Stub,15.4
5,Chad,Kuri II of Kanem,669719757.0,Stub,15.4
6,Chad,Bir II of Kanem,670893206.0,Stub,15.4
7,Chad,Mahamat Hissene,693055898.0,Stub,15.4
8,Chad,Othman I,705432607.0,Stub,15.4
9,Chad,Alphonse Kotiga,707593108.0,Stub,15.4
10,Chad,Oueddei Kichidemi,708346649.0,Start,15.4
11,Chad,Dunama I,710675092.0,Stub,15.4
12,Chad,Ahmad (Kanem-Bornu king),711388267.0,Stub,15.4
13,Chad,Djibrine Kerallah,712971263.0,Stub,15.4
14,Chad,Maurice Ngangtar,712971315.0,Stub,15.4
15,Chad,Idriss Miskine,712971738.0,Stub,15.4
16,Chad,Laoukein Kourayo Médard,716886170.0,Stub,15.4
17,Chad,Nadji Madou,716886788.0,Stub,15.4
18,Chad,Noël Milarew Odingar,716891799.0,Start,15.4
19,Chad,Yaya Dillo Djérou,717733209.0,Stub,15.4
20,Chad,Acheikh Ibn-Oumar,719821590.0,Start,15.4
21,Chad,Quatre Sou Quatre,720066754.0,Stub,15.4
22,Chad,Ali Gazi,722563340.0,Stub,15.4
23,Chad,Mahamat Djarma Khatir,725132042.0,Stub,15.4
24,Chad,Dunama IX Lefiami,731749611.0,Stub,15.4
25,Chad,Dawud of Kanem,736550266.0,Stub,15.4
26,Chad,Ahmed Koulamallah,738855197.0,Start,15.4
27,Chad,Abbo Nassour,741369486.0,C,15.4
28,Chad,Abdel Kader Baba-Laddé,742213176.0,Stub,15.4
29,Chad,Hummay,747271475.0,Stub,15.4
30,Chad,Ngarlejy Yorongar,751304544.0,C,15.4
31,Chad,Saleh Kezabo,751380073.0,Stub,15.4
32,Chad,Bourkou Louise Kabo,757072468.0,Start,15.4
33,Chad,Brahim Koulamallah,757802238.0,Stub,15.4
34,Chad,Saadie Goukouni Weddeye,757842614.0,Start,15.4
35,Chad,Mahamoud Adam Béchir,762579466.0,Start,15.4
36,Chad,Kalthouma Nguembang,762816132.0,Stub,15.4
37,Chad,Djidingar Dono Ngardoum,764133533.0,Stub,15.4
38,Chad,Youssouf Saleh Abbas,771052289.0,B,15.4
39,Chad,Koibla Djimasta,774223245.0,Start,15.4
40,Chad,Nassour Guelendouksia Ouaido,774223248.0,C,15.4
41,Chad,Joseph Brahim Seid,777478442.0,Stub,15.4
42,Chad,Joseph Yodoyman,777550078.0,Start,15.4
43,Chad,Antoine Bangui,782638002.0,Start,15.4
44,Chad,Ibrahim IV of Bornu,785614014.0,Stub,15.4
45,Chad,Hadjé Halimé,786449636.0,C,15.4
46,Chad,Youssouf Togoïmi,787390241.0,Start,15.4
47,Chad,Adoum Younousmi,787719236.0,Start,15.4
48,Chad,François Tombalbaye,787738541.0,C,15.4
49,Chad,Ahmat Hassaballah Soubiane,787910771.0,Stub,15.4
50,Chad,Ahmad Allam-Mi,787921293.0,Start,15.4
51,Chad,Laotegguelnodji Koumtog,788009613.0,Stub,15.4
52,Chad,Mahamat Ali Adoum,788014671.0,Start,15.4
53,Chad,Mahamat Saleh Annadif,788658822.0,Start,15.4
54,Chad,Mohamed Bechir-Sow,788827248.0,Stub,15.4
55,Chad,Gontchomé Sahoulba,788828388.0,Start,15.4
56,Chad,Gabriel Lisette,788828519.0,Start,15.4
57,Chad,Ali II of Bornu,788999424.0,Stub,15.4
58,Chad,Arabi El Goni,789126126.0,Stub,15.4
59,Chad,Dunama Dabbalemi,789935196.0,Start,15.4
60,Chad,Idris Alooma,792734868.0,Start,15.4
61,Chad,Mahamat Nouri,792954115.0,FA,15.4
62,Chad,Idriss Ndele Moussa,796654025.0,Start,15.4
63,Chad,Mbaydoum Simeon,796690873.0,Stub,15.4
64,Chad,Ngarindo Milengar,796700718.0,Stub,15.4
65,Chad,List of Prime Ministers of Chad,797747674.0,Start,15.4
66,Chad,Idriss Déby,798286150.0,C,15.4
67,Chad,Saleh Kebzabo,798626040.0,C,15.4
68,Chad,Moussa Faki,799043301.0,C,15.4
69,Chad,Kalzeubet Pahimi Deubet,799413193.0,Stub,15.4
70,Chad,Haroun Kabadi,799447895.0,Start,15.4
71,Chad,Nagoum Yamassoum,799447995.0,Start,15.4
72,Chad,Outel Bono,799448338.0,Start,15.4
73,Chad,Ahmat Acyl,799902492.0,C,15.4
74,Chad,Djimrangar Dadnadji,800133552.0,Start,15.4
75,Chad,Delwa Kassiré Koumakoye,801029539.0,C,15.4
76,Chad,Fidèle Moungar,801192255.0,C,15.4
77,Chad,Jean Alingué Bawoyeu,801192303.0,B,15.4
78,Chad,Emmanuel Nadingar,801573576.0,C,15.4
79,Chad,Roger Djikisna,801583221.0,Stub,15.4
80,Chad,Firmin Djidingar,801583260.0,Stub,15.4
81,Chad,Idris I of Kanem,802874918.0,Stub,15.4
82,Chad,Vice President of Chad,803166509.0,Stub,15.4
83,Chad,Hissène Habré,803166806.0,GA,15.4
84,Chad,Negue Djogo,803166989.0,Start,15.4
85,Chad,Wadel Abdelkader Kamougué,803167152.0,C,15.4
86,Chad,Félix Malloum,803167336.0,Start,15.4
87,Chad,Lol Mahamat Choua,803167424.0,C,15.4
88,Chad,Goukouni Oueddei,803167990.0,C,15.4
89,Chad,Albert Pahimi Padacké,803433107.0,C,15.4
90,Chad,List of heads of state of Chad,803812011.0,Start,15.4
91,Chad,Elise Loum,804773540.0,Start,15.4
92,Chad,Agnes Allafi,805493169.0,Start,15.4
93,Chad,Christine Georges Diguibaye,806337653.0,Stub,15.4
94,Chad,Pascal Yoadimnadji,806508985.0,Start,15.4
95,Chad,Aissa Koli,806616268.0,Start,15.4
96,Chad,Omar I of Kanem,807425129.0,Start,15.4
276,Cambodia,Yos Por,393822005.0,Stub,16
277,Cambodia,Than Sina,671073599.0,Stub,16
278,Cambodia,Ieu Pannakar,712085445.0,Stub,16
279,Cambodia,Taing Sunlay,713507166.0,Stub,16
280,Cambodia,Dul Koeun,714524609.0,Stub,16
281,Cambodia,Ly Kim Leang,714524624.0,Stub,16
282,Cambodia,Chhor Leang Huot,714524714.0,Stub,16
283,Cambodia,Thak Lany,714524870.0,Stub,16
284,Cambodia,Sok San,714525029.0,Stub,16
285,Cambodia,Tep Ngorn,714528164.0,Stub,16
286,Cambodia,Chan Cheng,714528251.0,Stub,16
287,Cambodia,Nhim Vanda,714528803.0,Stub,16
288,Cambodia,Pen Panha,714528886.0,Stub,16
289,Cambodia,Sieng Nam,714529109.0,Stub,16
290,Cambodia,So Khun,714529370.0,Stub,16
