,attendance,away_conference,away_line_scores,away_points,away_post_win_prob,away_team,conference_game,home_conference,home_line_scores,home_points,home_post_win_prob,home_team,id,neutral_site,season,season_type,start_date,venue,venue_id,week,capacity,city,country_code,dome,elevation,grass,location,name,state,year_constructed,zip,rain,max_temp,min_temp,attendance_percentage,home_team_ranked_ind,away_team_ranked_ind
0,38393.0,SEC,"[7, 3, 0, 7]",17,0.5189949783620369,South Carolina,True,SEC,"[0, 10, 3, 0]",13,0.4810050216379631,Vanderbilt,322430238,False,2012,regular,2012-08-30,Vanderbilt Stadium,3973.0,1,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,95.14993804213135,0,1
1,35491.0,,"[0, 0, 0, 0]",0,2.9169441663201567e-06,Presbyterian College,False,SEC,"[10, 17, 28, 3]",58,0.9999970830558337,Vanderbilt,322590238,False,2012,regular,2012-09-15,Vanderbilt Stadium,3973.0,3,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,87.95786864931846,0,0
2,40350.0,SEC,"[0, 11, 7, 13]",31,0.24923912699315798,Florida,True,SEC,"[7, 0, 0, 10]",17,0.750760873006842,Vanderbilt,322870238,False,2012,regular,2012-10-13,Vanderbilt Stadium,3973.0,7,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,5.0,,,100.0,0,1
3,40350.0,SEC,"[0, 10, 0, 3]",13,0.09748475047987282,Auburn,True,SEC,"[7, 3, 7, 0]",17,0.9025152495201272,Vanderbilt,322940238,False,2012,regular,2012-10-20,Vanderbilt Stadium,3973.0,8,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,100.0,0,0
4,32227.0,Mid-American,"[0, 0, 0, 7]",7,0.09307405552738279,UMass,False,SEC,"[7, 14, 28, 0]",49,0.9069259444726172,Vanderbilt,323010238,False,2012,regular,2012-10-27,Vanderbilt Stadium,3973.0,9,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,38.0,,,79.86864931846344,0,0
5,40350.0,SEC,"[0, 10, 0, 8]",18,0.05798714367885194,Tennessee,True,SEC,"[3, 10, 21, 7]",41,0.9420128563211481,Vanderbilt,323220238,False,2012,regular,2012-11-17,Vanderbilt Stadium,3973.0,12,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,100.0,0,0
6,40350.0,SEC,"[10, 0, 15, 14]",39,0.43523530236271357,Ole Miss,True,SEC,"[0, 21, 7, 7]",35,0.5647646976372864,Vanderbilt,332410238,False,2013,regular,2013-08-29,Vanderbilt Stadium,3973.0,1,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,100.0,0,0
7,33162.0,,"[0, 0, 3, 0]",3,0.0004495998803438761,Austin Peay,False,SEC,"[3, 35, 0, 0]",38,0.9995504001196561,Vanderbilt,332500238,False,2013,regular,2013-09-07,Vanderbilt Stadium,3973.0,2,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,82.18587360594796,0,0
8,32467.0,Conference USA,"[3, 3, 3, 15]",24,0.020420186960104503,UAB,False,SEC,"[7, 17, 7, 21]",52,0.9795798130398955,Vanderbilt,332710238,False,2013,regular,2013-09-28,Vanderbilt Stadium,3973.0,5,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,80.4634448574969,0,0
9,36892.0,SEC,"[20, 10, 14, 7]",51,0.11449428638890347,Missouri,True,SEC,"[0, 7, 14, 7]",28,0.8855057136110965,Vanderbilt,332780238,False,2013,regular,2013-10-05,Vanderbilt Stadium,3973.0,6,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,91.42998760842627,0,0
10,40350.0,SEC,"[10, 14, 3, 0]",27,0.24029441430888743,Georgia,True,SEC,"[7, 7, 0, 17]",31,0.7597055856911126,Vanderbilt,332920238,False,2013,regular,2013-10-19,Vanderbilt Stadium,3973.0,8,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,,,,100.0,0,1
11,33488.0,SEC,"[6, 0, 0, 0]",6,0.1296981354621486,Kentucky,True,SEC,"[9, 0, 0, 13]",22,0.8703018645378514,Vanderbilt,333200238,False,2013,regular,2013-11-16,Vanderbilt Stadium,3973.0,12,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,,,,82.99380421313506,0,0
12,33019.0,ACC,"[7, 7, 7, 0]",21,0.3576149243826616,Wake Forest,False,SEC,"[7, 10, 0, 6]",23,0.6423850756173384,Vanderbilt,333340238,False,2013,regular,2013-11-30,Vanderbilt Stadium,3973.0,14,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,81.83147459727385,0,0
13,31731.0,American Athletic,"[7, 14, 13, 3]",37,0.8824100920451146,Temple,False,SEC,"[0, 7, 0, 0]",7,0.1175899079548855,Vanderbilt,400547640,False,2014,regular,2014-08-28,Vanderbilt Stadium,3973.0,1,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,78.63940520446097,0,0
14,33386.0,Mid-American,"[14, 10, 7, 0]",31,0.4372825541652541,UMass,False,SEC,"[0, 20, 0, 14]",34,0.5627174458347459,Vanderbilt,400548109,False,2014,regular,2014-09-13,Vanderbilt Stadium,3973.0,3,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,82.74101610904584,0,0
15,34441.0,SEC,"[0, 17, 10, 21]",48,0.9949602920008666,South Carolina,True,SEC,"[14, 0, 10, 10]",34,0.005039707999133492,Vanderbilt,400548387,False,2014,regular,2014-09-20,Vanderbilt Stadium,3973.0,4,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,0.0,,,85.35563816604709,0,1
16,26738.0,,"[0, 10, 7, 3]",20,0.4499369070904875,Charleston Southern,False,SEC,"[3, 18, 0, 0]",21,0.5500630929095125,Vanderbilt,400548372,False,2014,regular,2014-10-11,Vanderbilt Stadium,3973.0,7,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,747.0,,,66.26517967781909,0,0
17,28966.0,Conference USA,"[7, 7, 7, 7]",28,0.0025264402425093646,Old Dominion,False,SEC,"[7, 21, 0, 14]",42,0.9974735597574906,Vanderbilt,400548065,False,2014,regular,2014-11-01,Vanderbilt Stadium,3973.0,10,40350,Nashville,US,0.0,159.9194641,0.0,"{'y': -86.8088942, 'x': 36.1440455}",Vanderbilt Stadium,TN,1922.0,37212,8.0,,,71.78686493184634,0,0
